交易日期,到期天數,model1
2021/08/09,9,0.0014505036063535
2021/08/10,8,0.0019582131057028
2021/08/11,7,0.0029630302239621
2021/08/12,6,0.0012608173741875
2021/08/13,5,0.0007393716795753
2021/08/16,2,0.0177492756183554
2021/08/17,1,0.0499284757016097
2021/08/19,27,0.0077435371446534
2021/08/20,26,0.0024154599249189
2021/08/23,23,0.0076848305528925
2021/08/24,22,0.0034423909638451
2021/08/25,21,0.0008334655629911
2021/08/26,20,0.0015020656923718
2021/08/27,19,0.001243199065151
2021/08/30,16,0.0028322404091406
2021/08/31,15,0.0098693377028006
2021/09/01,14,0.0029959818011236
2021/09/02,13,0.0017971526904762
2021/09/03,12,0.001999058190587
2021/09/06,9,0.0067705734550441
2021/09/07,8,0.0027371787782738
2021/09/08,7,0.0082835284818245
2021/09/09,6,0.0027747390127612
2021/09/10,5,0.0072718946378321
2021/09/13,2,0.0035834979804442
2021/09/14,1,0.0076323926635714
2021/09/16,34,0.0128566840898441
2021/09/17,33,0.0027933432404796
2021/09/22,28,0.0023753433927406
2021/09/23,27,0.0037099941388424
2021/09/24,26,0.0032145467057737
2021/09/27,23,0.0026811361124205
2021/09/28,22,0.0009642667189648
2021/09/29,21,0.0009983794138844
2021/09/30,20,0.0011733531140029
2021/10/01,19,0.0014268521181649
2021/10/04,16,0.0014610736565538
2021/10/05,15,0.0064969172773352
2021/10/06,14,0.0020420620810771
2021/10/07,13,0.001558144918975
2021/10/08,12,0.0023370660534186
2021/10/12,8,0.0021318284688262
2021/10/13,7,0.0033523711074994
2021/10/14,6,0.006144779863695
2021/10/15,5,0.0078063475891926
2021/10/18,2,0.011278656999207
2021/10/19,1,0.010265113597656
2021/10/21,27,0.0033364097870914
2021/10/22,26,0.0077551174996426
2021/10/25,23,0.0036100371221309
2021/10/26,22,0.0056690257369018
2021/10/27,21,0.0034576145503272
2021/10/28,20,0.0012197465681539
2021/10/29,19,0.0013720421269065
2021/11/01,16,0.0011140514816313
2021/11/02,15,0.0025887517094396
2021/11/03,14,0.0014300626526274
2021/11/04,13,0.0012749098314697
2021/11/05,12,0.0047498710079038
2021/11/08,9,0.0052292729296217
2021/11/09,8,0.0017676804928368
2021/11/10,7,0.0040179467908615
2021/11/11,6,0.0028428680831272
2021/11/12,5,0.000945164883048
2021/11/15,2,0.0029421982367027
2021/11/16,1,0.0164066493189932
2021/11/18,27,0.004845476151028
2021/11/19,26,0.0010407844406624
2021/11/22,23,0.0006140898694427
2021/11/23,22,0.0006714149122037
2021/11/24,21,0.0021558838984901
2021/11/25,20,0.0009728886451729
2021/11/26,19,0.0010316263120976
2021/11/29,16,0.0013275548970418
2021/11/30,15,0.0014281133657404
2021/12/01,14,0.004815163647519
2021/12/02,13,0.002532030415139
2021/12/03,12,0.0009873196790886
2021/12/06,9,0.0011440377340808
2021/12/07,8,0.0011896130531789
2021/12/08,7,0.0031424708743504
2021/12/09,6,0.0033162244029157
2021/12/10,5,0.0007783853603507
2021/12/13,2,0.0059316394269397
2021/12/14,1,0.0121554533181889
2021/12/16,34,0.0059323287351693
2021/12/17,33,0.0020682350366981
2021/12/20,30,0.003876598905223
2021/12/21,29,0.0016758005245745
2021/12/22,28,0.002092029527666
2021/12/23,27,0.0024815784342743
2021/12/24,26,0.0006864042652004
2021/12/27,23,0.0005972944471985
2021/12/28,22,0.001786092628639
